id,name,release_date,clasificacion_edades_id,series_id
1,Temporada 1,2005-03-24,1,2
2,Temporada 2,2005-09-20,1,2
3,Temporada 3,2006-09-21,1,2
4,Temporada 4,2007-09-27,1,2
5,Temporada 5,2008-09-25,1,2
6,Temporada 6,2009-09-17,1,2
7,Temporada 7,2010-09-23,1,2
8,Temporada 8,2011-09-22,1,2
9,Temporada 9,2012-09-20,1,2
10,Temporada 1,2006-05-01,3,3
11,Temporada 2,2008-09-22,3,3
12,Temporada 3,2009-09-21,3,3
13,Temporada 4,2010-09-23,3,3
14,Temporada 5,2011-09-22,3,3
15,Temporada 6,2012-09-27,3,3
16,Temporada 7,2013-09-26,3,3
17,Temporada 8,2014-09-22,3,3
18,Temporada 9,2015-09-21,3,3
19,Temporada 10,2017-09-28,3,3
20,Temporada 11,2017-09-25,3,3
21,Temporada 12,2018-09-24,3,3
22,Temporada 1,1994-09-22,2,1
23,Temporada 2,1995-09-21,2,1
24,Temporada 3,1996-09-19,2,1
25,Temporada 4,1997-09-25,2,1
26,Temporada 5,1998-09-24,2,1
27,Temporada 6,1999-09-23,2,1
28,Temporada 7,2000-10-12,2,1
29,Temporada 8,2001-09-27,2,1
30,Temporada 9,2002-09-26,2,1
31,Temporada 10,2003-09-25,2,1